PROSPECTID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,AGE,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,MARITALSTATUS_Single,EDUCATION_GRADUATE,EDUCATION_OTHERS,EDUCATION_POST-GRADUATE,EDUCATION_PROFESSIONAL,EDUCATION_SSC,EDUCATION_UNDER GRADUATE,GENDER_M,last_prod_enq2_CC,last_prod_enq2_ConsumerLoan,last_prod_enq2_HL,last_prod_enq2_PL,last_prod_enq2_others,first_prod_enq2_CC,first_prod_enq2_ConsumerLoan,first_prod_enq2_HL,first_prod_enq2_PL,first_prod_enq2_others,Approved_Flag_P2,Approved_Flag_P3,Approved_Flag_P4
16907,16,7,9,2,0,0.125,0.0,0.562,0.438,4,1,0.25,0.062,2,1,1,7,6,0,1,7,9,0,53,1,33,16,16,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,16,4,5,1,0,0,39,10,8,4,24,30000,97,0.562,0.5,0.638,0.891,1,0.526,1,0.0,0.8,0.0,0.25,8.39,1,0,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
14150,12,5,7,2,0,0.167,0.0,0.583,0.417,5,0,0.417,0.0,2,2,1,4,1,1,1,4,8,2,46,2,23,5,5,1,25,25,1,1,0,25,25,0,0,14,4,10,0,0,0,0,0,0,0,0,0,25,15,3,0,2,2,0,0,228,3,0,0,43,43000,222,0.583,0.4,0.812,0.685,1,0.518,1,0.0,0.0,0.0,0.0,7.217,1,1,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False
35531,3,1,2,0,0,0.0,0.0,0.667,0.333,1,0,0.333,0.0,0,1,1,0,0,0,1,1,2,0,72,8,34,5,4,2,27,27,2,2,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,0,0,0,2,1,1,18,4,4,4,28,43000,78,0.667,0.0,0.754,0.911,1,0.736,1,1.0,0.0,0.5,0.0,6.492,0,0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False
42076,26,14,12,7,5,0.269,0.192,0.462,0.538,12,7,0.462,0.269,0,0,2,15,0,0,2,0,26,7,143,3,36,7,7,1,10,10,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,4,0,0,7,2,3,6,7,6,2,52,30000,246,0.462,0.583,0.464,0.0,1,0.501,1,0.667,0.0,0.286,0.0,14.79,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False
10001,12,6,6,2,1,0.167,0.083,0.5,0.5,2,1,0.167,0.083,3,0,1,0,7,0,1,9,3,3,108,4,41,12,2,7,47,17,3,6,3,3,17,1,0,33,4,10,0,0,0,0,0,0,0,0,0,3,6,1,0,0,2,0,0,9,2,1,1,35,26000,125,0.5,1.0,0.701,0.725,1,0.548,1,0.0,0.0,0.0,0.0,15.825,1,0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
34536,7,4,3,2,0,0.286,0.0,0.429,0.571,2,0,0.286,0.0,0,3,1,2,0,0,1,3,4,0,53,5,31,30,30,1,60,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10,2,1,1,2,0,0,151,2,2,0,31,16500,64,0.429,1.0,0.816,0.886,1,0.742,1,0.0,1.0,0.0,0.5,5.555,0,0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False
184,9,5,4,0,0,0.0,0.0,0.444,0.556,0,0,0.0,0.0,0,1,3,0,0,0,4,1,8,1,137,17,37,29,2,7,3,3,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,7,2,2,14,4,7,54,10,7,6,32,35000,38,0.444,0.0,0.79,0.555,1,0.827,1,0.571,1.0,0.286,0.286,23.113,0,0,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False
48495,6,0,6,1,0,0.167,0.0,1.0,0.0,1,0,0.167,0.0,1,0,1,2,2,0,1,2,4,0,46,1,61,17,8,8,47,20,0,5,5,0,47,2,0,16,4,7,0,0,0,0,0,0,0,0,0,20,23,8,1,1,8,0,0,4,3,3,3,29,40000,31,1.0,1.0,0.726,0.949,1,0.453,1,0.0,1.0,0.0,0.125,6.836,1,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
7530,41,27,14,8,3,0.195,0.073,0.341,0.659,14,4,0.341,0.098,10,1,1,0,36,2,1,39,2,0,114,1,41,30,15,4,80,18,0,0,0,0,0,2,1,79,0,0,0,0,0,0,0,0,0,0,0,5,7,3,1,1,1,0,1,7,4,3,1,37,90000,95,0.341,0.571,0.908,0.476,1,0.95,1,0.0,1.0,0.0,0.333,1.938,1,1,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
17330,15,8,7,1,2,0.067,0.133,0.467,0.533,3,3,0.2,0.2,2,1,4,0,1,0,3,8,7,6,85,6,24,24,21,2,15,15,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,15,45,6,1,3,10,6,8,52,17,13,4,37,25000,128,0.467,0.333,0.799,0.454,1,0.945,1,0.75,0.333,0.6,0.167,14.904,1,0,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False
